par_id	par_vertex	comm_mode	spar_5	spar_6	spar_7	spar_8	power_label
1	1	78	164	164	164	164	3
2	2	4	4	4	4	4	4
3	3	16	179	179	16	16	16
4	4	3	7	7	7	7	6
5	5	5	127	127	127	127	5
6	6	73	6	6	73	73	6
7	7	3	3	3	3	3	26
8	9	126	126	126	126	126	5
9	12	12	70	70	70	0	17
10	74	3	3	3	3	3	3
11	81	3	3	3	3	3	3
12	93	78	78	78	78	78	5
13	99	78	78	78	78	78	5
14	114	126	126	126	126	126	5
15	164	21	87	87	87	87	21
16	1473	78	78	78	78	78	5
17	1723	3	3	3	3	3	22
18	1732	4	4	4	4	4	3
19	1738	4	4	4	4	4	14
20	1753	14	14	14	14	14	4
21	1763	3	7	7	7	7	14
22	1786	73	6	6	73	73	26
23	1807	20	20	20	20	133	20
24	1860	14	14	14	14	14	14
25	2085	106	14	14	14	14	14
26	2115	14	14	14	14	14	14
27	2412	14	14	14	14	14	14
28	2421	20	20	20	20	133	20
29	3379	14	337	14	14	14	3
30	3395	4	4	4	4	4	22
31	3408	4	4	4	4	4	4
32	3416	4	4	4	4	4	15
33	3432	28	0	0	0	0	4
34	3437	4	4	4	4	4	4
35	3453	4	4	4	4	4	4
36	3459	4	4	4	4	4	4
37	3465	14	14	14	14	14	14
38	3475	3	233	233	233	233	7
39	3657	4	4	4	4	4	3
40	3732	4	4	4	4	4	4
41	3734	4	4	4	4	4	4
42	3953	4	4	4	4	4	22
43	4093	4	4	4	4	4	14
44	4155	4	4	4	4	4	4
45	4166	38	0	0	0	0	14
46	4537	14	4	4	4	4	4
47	5035	4	4	4	4	4	4
48	5042	4	4	4	4	4	4
49	5048	4	4	4	4	4	4
50	5051	4	4	4	4	4	4
51	5064	4	4	4	4	4	4
52	5074	16	16	16	16	16	16
53	5085	3	7	7	7	7	7
54	5097	14	208	208	208	208	15
55	5107	14	208	208	208	208	6
56	5117	14	208	208	208	208	15
57	5123	20	20	20	20	133	3
58	5261	4	4	4	4	4	4
59	5272	4	4	4	4	4	4
60	5488	16	179	179	16	16	14
61	5759	4	4	4	4	4	15
62	5827	4	4	4	4	4	4
63	5836	107	4	4	4	4	4
64	6130	14	14	14	14	14	4
65	6533	33	0	0	0	0	14
66	6686	4	4	4	4	4	4
67	6703	4	4	4	4	4	15
68	6714	5	5	5	5	5	6
69	6738	16	16	16	16	16	16
70	6751	4	16	16	16	16	16
71	6758	4	4	4	4	4	4
72	6775	5	4	4	4	4	15
73	6781	5	15	15	15	15	6
74	6808	4	4	4	4	4	4
75	6877	4	4	4	4	4	15
76	6904	4	4	4	4	4	4
77	7173	4	4	4	4	4	4
78	7814	4	4	4	4	4	4
79	8199	16	16	16	16	16	16
80	8335	73	6	6	73	73	3
81	8351	3	233	233	233	233	9
82	8370	14	6	6	6	6	6
83	8391	6	6	6	6	6	6
84	8398	14	6	6	6	6	14
85	8411	14	6	6	6	6	24
86	8425	49	0	0	0	0	24
87	8442	3	3	3	3	3	3
88	8448	74	74	74	74	74	3
89	8469	14	14	14	14	14	24
90	8486	24	24	24	24	24	24
91	8532	3	7	7	7	7	9
92	8876	3	3	3	3	3	3
93	9020	3	7	7	7	7	9
94	9035	74	74	74	74	74	9
95	9106	3	7	7	7	7	9
96	9456	14	14	14	14	14	24
97	9517	14	14	14	14	14	24
98	9793	24	24	24	24	24	24
99	10041	24	24	24	24	24	24
100	10056	14	25	25	14	14	25
101	10071	14	25	25	14	14	25
102	10080	14	14	14	14	14	25
103	10098	73	6	6	73	73	6
104	10109	14	14	14	14	14	7
105	10118	14	14	14	14	14	14
106	10127	14	14	14	14	14	14
107	10135	27	0	0	0	0	14
108	10139	16	16	16	16	16	24
109	10154	3	3	3	3	3	26
110	10161	3	3	3	3	3	7
111	10165	3	7	7	7	7	7
112	10182	20	20	20	20	133	12
113	10197	14	24	24	24	24	14
114	10275	14	24	24	24	24	24
115	10446	14	24	24	24	24	14
116	10644	14	14	14	14	14	14
117	10788	14	14	14	14	14	14
118	10932	60	0	0	0	0	14
119	11071	83	14	14	14	14	14
120	11500	3	7	7	7	7	7
121	11755	14	14	14	14	14	15
122	11762	14	14	14	14	14	15
123	11770	5	15	15	15	15	15
124	11780	15	15	15	15	15	15
125	11788	5	5	5	5	5	5
126	11792	5	5	5	5	5	5
127	11819	78	78	78	78	78	3
128	11826	101	101	101	78	78	5
129	11850	127	127	127	127	127	5
130	12515	78	78	78	78	78	3
131	12559	14	337	208	208	208	3
132	12667	14	337	208	208	208	22
133	13406	5	5	5	5	5	5
134	13415	78	164	164	164	164	15
135	13427	3	3	3	3	3	3
136	13439	3	3	3	3	3	3
137	13446	5	15	15	15	15	26
138	13679	5	5	5	5	5	15
139	13790	73	6	6	73	73	6
140	14052	15	15	15	15	15	15
141	14337	15	15	15	15	156	15
142	14423	4	4	4	4	4	15
143	14533	5	15	15	15	15	15
144	14570	5	15	15	15	15	15
145	15001	5	180	180	180	180	5
146	15019	5	5	5	5	5	5
147	15027	14	208	208	208	208	5
148	15034	5	5	5	5	5	6
149	15114	5	5	5	5	5	5
150	15123	5	5	5	5	5	5
151	15211	5	5	5	5	5	5
152	15288	14	208	208	208	208	5
153	15535	78	164	164	164	164	5
154	15540	3	3	3	3	3	19
155	15695	6	167	167	167	167	3
156	15823	78	164	164	164	164	3
157	16049	3	3	3	3	3	3
158	16595	16	179	179	16	16	16
159	16607	16	16	16	16	16	16
160	16616	16	16	16	16	16	24
161	16638	24	24	24	24	24	24
162	16723	14	6	6	6	6	14
163	16961	14	14	14	14	14	6
164	16988	14	14	14	14	14	14
165	17184	4	275	275	275	275	24
166	17206	14	14	14	14	14	14
167	18191	167	167	167	167	167	6
168	18213	73	6	6	73	73	6
169	18224	14	6	6	6	6	14
170	18230	14	6	6	6	6	6
171	18378	3	7	7	7	7	7
172	18493	167	167	167	167	167	6
173	18731	3	233	233	233	233	6
174	18808	14	15	15	15	156	14
175	18844	14	14	14	14	14	14
176	19052	14	14	14	14	14	14
177	19134	5	5	5	5	5	6
178	19277	167	167	167	167	167	6
179	19576	4	4	4	4	4	6
180	19789	3	3	3	3	3	20
181	19799	11	11	11	11	11	13
182	19810	11	11	11	11	11	3
183	19818	3	3	3	3	3	3
184	19828	112	70	70	70	0	3
185	19856	125	45	45	45	45	2
186	19978	3	3	3	3	3	3
187	19993	12	0	0	0	0	12
188	20076	167	167	167	167	167	6
189	20168	20	133	133	133	133	6
190	20174	14	14	14	14	14	6
191	20379	73	167	167	167	167	11
192	20541	11	11	11	11	11	11
193	20575	13	11	11	11	11	13
194	20790	103	3	3	3	3	11
195	20946	11	11	11	11	11	11
196	20983	11	11	11	11	11	11
197	21193	104	11	11	11	11	2
198	21443	3	7	7	7	7	3
199	21451	3	3	3	3	3	2
200	21458	3	3	3	3	3	3
201	21466	17	17	17	74	74	17
202	21474	17	17	17	74	74	17
203	21492	77	0	0	0	0	21
204	21500	98	88	88	88	88	21
205	21504	117	87	87	87	87	21
206	21515	97	87	87	87	87	10
207	21533	124	70	70	70	10	17
208	21550	5	5	5	5	5	5
209	21568	5	5	5	5	5	5
210	21579	5	15	15	15	15	15
211	21625	37	0	0	0	0	10
212	21659	74	17	17	74	74	17
213	21987	91	0	0	0	0	2
214	22004	15	15	15	15	156	2
215	22017	10	10	10	10	10	10
216	22089	73	73	73	73	73	2
217	22256	44	0	0	0	0	10
